,제품명,가격
81,(21년산/혼합/상) 농부의아침 쌀10kg 쿠폰가 19550원 한정수량 대방출,"21,900원"
82,요즘에/썸머세일+10%/슬랙스/청바지/반바지/빅사이즈,"9,900원"
83,에이드 3종(블루레몬+복숭아+청포도) 각 10팩,"15,500원"
84,유기농 아이김 김자반 김과자 4팩세트,"9,900원"
85,유닉심플/여름신상/티셔츠 맛집/반바지/원피스,"12,900원"
86,수맘 수엠W 잠옷 3900~ 원피스 홈웨어 세트,"5,900원"
87,고등어 120-140g x 10팩/국내산,"14,900원"
88,헬로 순수 3겹 천연펄프 화장지 30m 30롤 3팩 특가행사,"35,500원"
89,코카콜라+ 환타오렌지 190mlx 60캔 (각 30캔),"28,900원"
90,나인웨스트 푸퍼(Puffer) 샌들 + 오션슬라이드,"39,000원"
